name,price
601702,15.95
601717,12.8
601718,2.87
601727,4.4
601728,5.34
601766,5.35
601777,3.81
601778,3.65
601788,16.45
601789,4.22
601798,6.94
601799,145.66
601800,8.0
601801,6.8
601808,15.42
601811,13.05
601816,4.99
601818,2.96
601825,5.81
601827,7.69
601828,4.2
601838,12.28
601857,7.33
601858,25.2
601860,2.59
601865,26.47
601866,2.28
601868,2.18
601869,29.23
601872,6.59
601877,23.21
601878,10.06
601880,1.51
601881,12.01
601882,26.54
601886,6.77
601888,94.58
601890,9.3
601898,8.52
601899,12.17
601900,15.06
601901,7.86
601908,4.61
601916,2.52
601918,4.82
601919,9.81
601921,7.61
601928,9.8
601929,1.87
601933,3.06
601939,6.3
601949,8.76
601952,10.58
601956,5.78
601958,9.98
601963,7.6
601965,18.87
601966,20.29
601968,5.65
601969,6.56
601975,2.99
601985,7.37
601988,3.89
601989,4.02
601990,7.98
601991,2.61
601992,2.03
601995,36.66
601996,2.69
601997,5.19
601998,5.45
601999,6.65
603000,32.71
603001,5.84
603002,5.52
603003,11.49
603005,24.05
603006,11.74
603007,4.09
603008,19.16
603009,11.83
603010,11.45
603011,7.05
603012,5.77
603013,16.39
603015,9.99
603016,19.38
603017,10.06
603018,7.69
603019,37.26
603020,9.13
603021,5.6
603022,9.92
603023,4.86
603025,12.16
603026,52.05
603027,17.7
603028,12.72
603029,19.6
603030,3.37
603031,45.44
603032,21.15
603033,17.73
603035,19.78
603036,12.95
603037,19.4
603038,9.98
603039,51.0
603040,21.64
603041,12.62
603042,15.92
603043,21.18
603045,15.63
603048,19.11
603050,16.32
603051,33.65
603052,31.48
603053,10.17
603055,12.44
603056,15.19
603057,23.08
603058,8.05
603059,22.71
603060,9.66
603061,92.57
603063,24.31
603065,13.82
603066,9.98
603067,10.09
603068,29.34
603069,19.04
603070,16.53
603071,15.12
603073,19.77
603075,25.68
603076,27.93
603077,2.37
603078,16.69
603079,13.77
603080,16.72
603081,11.32
603083,35.88
603085,10.92
603086,5.81
603087,46.82
603088,8.36
603089,14.01
603090,20.7
603093,12.28
603095,17.02
603096,18.26
603097,20.82
603098,16.44
603099,13.74
603100,29.11
603101,6.85
603102,39.55
603103,14.79
603105,12.31
603106,6.68
603107,34.44
603108,20.69
603109,15.54
603110,31.81
603111,5.19
603112,12.12
603113,8.22
603115,14.15
603116,6.18
603117,3.48
603118,8.89
603119,24.89
603121,8.62
603122,8.21
603123,12.97
603125,30.61
603126,6.65
603127,26.29
603128,7.16
603129,101.75
603130,21.44
603131,15.96
603132,12.86
603133,7.22
603135,15.63
603136,19.19
603137,18.98
603138,16.82
603139,20.01
603150,27.81
603151,15.24
603153,16.92
603155,23.84
603156,24.9
603158,10.77
603159,16.44
603160,76.2
603161,17.19
603162,15.59
603163,38.61
603165,13.12
603166,7.11
603167,7.71
603168,10.6
603169,5.93
603170,19.73
603171,30.65
603172,16.73
603173,24.01
603176,6.12
603177,12.69
603178,34.61
603179,46.79
603180,26.48
603181,11.11
603182,14.68
603183,4.75
603185,37.1
603186,39.4
603187,16.39
603188,3.95
603189,14.08
603190,32.39
603191,15.25
603192,19.44
603193,17.84
603195,104.71
603196,16.03
603197,64.1
603198,74.61
603199,26.2
603200,17.98
603201,25.38
