name,每股收益,同比%,当季环比%,每股净资产,同比%,当季环比%,主营收入,同比%,当季环比%,净利润,同比%,当季环比%,销售毛利率,同比%,当季环比%,总股本(万股),流通股本(万股),每股资本公积金,每股未分配利润,净资产收益率,price,,
715,0.06,20,-,4.23,4.94,-,2.22亿,6.06,45.82,2441.93万,25.82,-35.08,0,-,-9.55,41571.89,41505.95,0.433,2.2948,1.39%,7.43,0.569313594,
716,0.01,55.56,201,3.34,-5.2,-,6.18亿,-9.22,-37.38,1035.43万,62.26,106.95,0,-,-20.89,74399.96,68887.6,2.1064,0.1852,0.42%,6.21,0.53784219,
717,0,-94.39,307.68,3.78,-17.27,-,90.77亿,30.65,-24.2,596.22万,-94.48,100.95,0,-,157.72,242384.56,242356.1,1.3049,0.9999,0.07%,2.93,1.290102389,
718,0.04,-4.35,-,3.17,7.5,-,4.34亿,-9.03,1.1,1.27亿,-4.42,188.04,0,-,-13.73,303463.64,228975.42,0.1996,1.6678,1.32%,2.8,1.132142857,
719,0.1,11.11,-,9.72,3.85,-,18.69亿,6.01,-40.37,1.01亿,4.89,-72.78,0,-,-14.99,102320.37,66714.75,2.6998,6.0889,1.02%,10.3,0.94368932,
720,-0.02,-,475.42,2.02,-2.07,-,6.00亿,-20.51,-36.82,-2065.72万,-,-,0,-,191.51,125653.16,125653.16,0.4427,0.4558,-0.82%,4.43,0.455981941,
721,-0.05,-,331.82,0.88,-28.35,-,1.76亿,53.51,66.99,-3112.59万,-,-,0,-,735.9,57391.43,43750.19,0.4956,-0.7096,-6.14%,10.67,0.082474227,
722,0.01,-88.89,-,6.77,-0.37,-,5371.47万,-58.89,35.46,383.65万,-90.47,119.1,0,-,143.87,46415.83,46415.83,4.5989,0.9993,0.12%,9.97,0.679037111,
723,0.09,-43.75,-,3.45,12.6,-,53.38亿,-13.65,-9.33,4.02亿,-40.52,-19.16,0,-,-15.01,432645.37,397189.83,0.3661,1.9274,2.70%,6.98,0.494269341,
725,0,-97.35,-,3.46,-10.84,-,379.73亿,-24.77,-16.85,2.47亿,-94.36,-89.06,0,-,18.5,3818606.48,3728876.79,1.4478,0.9428,0.19%,3.8,0.910526316,
726,0.11,-38.89,-,10.25,11.66,-,13.78亿,-12.77,-20.42,9575.92万,-39.92,-64.26,0,-,-18.12,86360.75,57997.32,0.4536,7.4205,1.05%,6.75,1.518518519,
727,-0.01,-,-,0.57,13.11,-,119.75亿,-26.91,-25.03,-3429.40万,-,-,0,-,1.2,452956.7,341922.22,0.9895,-1.3836,-1.34%,2.71,0.210332103,
728,0.12,500,-,7.71,5.37,-,15.50亿,165.65,4.95,5.20亿,533.05,-9.31,0,-,-3.89,436377.79,436376.76,3.8979,1.5359,1.55%,6.91,1.11577424,
729,0.02,7287.1,-,4.79,0.6,-,35.26亿,13.74,87.55,6456.38万,7373.28,120.16,0,-,734.22,281853.93,250956.01,1.552,1.433,0.48%,10.29,0.465500486,
731,0.29,-6.46,-,7.11,15.61,-,12.04亿,-3.87,-1.06,1.67亿,-6.44,63.73,0,-,33.57,58572.38,58572.38,1.0498,4.2261,4.02%,7.36,0.966032609,
733,1.41,20.43,-,20.16,29.72,-,21.02亿,11.46,34.2,7.35亿,20.96,41.58,0,-,-2.36,52041.32,52010.12,5.8572,12.3432,7.00%,64.81,0.311063108,
735,0.04,263.78,-,3.81,17.87,-,13.87亿,163.47,26.99,4787.98万,263.65,-42.51,0,-,-28.5,115151.36,115088.32,1.4135,0.7465,1.09%,5.68,0.670774648,
736,-0.29,-,-,4.44,-3.98,-,26.89亿,-31.89,-88.42,-2.02亿,-,-,0,-,-23.64,69543.37,69543.37,0.2315,3.1191,-6.53%,11.18,0.397137746,
737,0.12,-23.45,-,2.55,11.75,-,25.90亿,-18.23,1.32,2.05亿,-23.42,575.34,0,-,181.89,177245.62,72637.17,0.8864,0.5421,4.50%,5.55,0.459459459,
738,0.19,13.97,-,8.68,6.12,-,13.41亿,10.81,12.73,2.44亿,13.98,66.53,0,-,108.06,131518.4,131518.4,5.0816,2.4724,2.13%,20.63,0.420746486,
739,0.2,58.56,-,4.88,10.35,-,30.86亿,46.83,3.05,2.39亿,57.35,-27.9,0,-,22.2,117852.35,117808.37,0.3717,3.4737,4.16%,17.1,0.285380117,
750,0.07,75,400,3.46,1.12,-,20.77亿,23.34,10.05,3.90亿,61.68,-27.58,0,-,-34.3,544452.55,544452.55,1.6512,0.3249,2.07%,3.57,0.969187675,
751,0.02,73.91,-,2.14,2.44,-,46.25亿,-13.62,2.17,2248.80万,38.26,-44.77,0,-,-11.3,161563.06,140986.93,0.7993,0.0781,0.75%,3.27,0.654434251,
752,-0.03,-,344.44,-0.14,-,-,9031.32万,-19.16,45.36,-682.75万,-,-,0,-,224.12,26375.85,26375.85,0.0912,-1.4963,0.00%,7.02,-0.01994302,
753,0.02,-47.76,-,2.66,0,-,4.60亿,-31.03,-46.26,1736.65万,-47.74,647.3,0,-,69.33,99148.11,99148.11,0.6386,0.9174,0.66%,4.48,0.59375,
755,0.09,33.08,-,3.18,11.18,-,3.86亿,11.84,-5.72,1.28亿,33.16,64.98,0,-,89.89,146731.02,61004.39,1.9037,0.0879,2.74%,4.6,0.691304348,
756,0.23,35.29,-,6.42,11.64,-,26.40亿,44.15,28.79,1.52亿,39.72,28.75,0,-,1.5,67468.28,44100.62,1.5297,3.1751,3.51%,21.25,0.302117647,
757,-0.03,-,166.67,2.66,-0.58,-,7.00亿,-4.03,-34.06,-1820.86万,-,-,0,-,83.58,53271.61,51116.73,2.1643,-0.6091,-1.07%,4.91,0.541751527,
758,0.04,-14.57,-,2.49,6.48,-,18.69亿,32.66,-8.45,7620.23万,-14.62,128.14,0,-,34.35,199302.39,196932.91,0.4846,1.0177,1.56%,4.56,0.546052632,
759,0.02,500,262.3,4.07,-9.87,-,35.12亿,1.94,17.6,1154.00万,424.72,105.66,0,-,15.34,68102.15,65570.6,1.3462,1.1781,0.42%,4.43,0.918735892,
761,0.01,-90.91,229.17,4.59,-17.93,-,157.84亿,-5.04,6.81,4752.40万,-89.05,104.87,0,-,152.55,410821.47,370821.47,3.2307,-0.1638,0.25%,3.87,1.186046512,
762,0.03,-86.98,-,5.71,29.94,-,9003.70万,-74.48,-89.81,1739.77万,-86.82,-94.52,0,-,-17.75,52117.12,52080.06,3.0734,1.5,0.58%,24.58,0.232302685,
